,type,title,release_year,rating,duration,is_adult,polarity,subjectivity,continent
3473,TV Show,Shaka Zulu,1986,7.7,1,0,0.03333333333333333,0.43333333333333335,Europe
3474,TV Show,When Heroes Fly,2018,7.2,1,0,0.07499999999999998,0.44999999999999996,Asia
3476,Movie,In The Deep,2017,5.7,89,0,0.10312500000000001,0.3125,Europe
3478,Movie,Jim Gaffigan: Cinco,2017,7.1,74,0,0.3246031746031746,0.7571428571428571,North America
3479,TV Show,We're Lalaloopsy,2017,5.9,1,0,0.6666666666666666,1.0,North America
3480,Movie,21,2008,7.7,123,0,0.9,1.0,North America
3481,Movie,A Cinderella Story,2004,7.7,95,0,0.0,0.0,North America
3483,Movie,American Beauty,1999,5.6,122,0,-0.2261904761904762,0.42857142857142855,North America
3484,Movie,Arthur Christmas,2011,7.1,98,0,0.0,0.0,Europe
3485,Movie,Aruna & Her Palate,2018,7.2,106,0,0.0,0.0,Asia
3486,Movie,As Good as It Gets,1997,5.6,139,0,0.06507936507936508,0.2992063492063492,North America
3487,Movie,Bad Grandpa .5,2014,6.2,87,0,-0.08333333333333333,0.41111111111111115,North America
3488,TV Show,Because This Is My First Life,2017,8.9,1,0,0.08333333333333333,0.2023809523809524,Asia
3489,Movie,Breaking the Bank,2014,7.3,105,0,0.0,0.0,Europe
3490,Movie,Catch Me If You Can,2002,8.1,142,0,-0.13333333333333333,0.7999999999999999,North America
3491,TV Show,Cells at Work!,2018,7.5,1,0,0.10357142857142856,0.16785714285714284,Asia
3492,Movie,Center Stage,2000,7.3,116,0,0.1,0.25,North America
3493,Movie,Charlie and the Chocolate Factory,2005,8.5,115,0,0.13333333333333336,0.7333333333333333,Europe
3494,Movie,Chasing Amy,1997,7.9,113,0,0.4375,0.775,North America
3496,Movie,Chitty Chitty Bang Bang,1968,7.8,146,0,0.13333333333333333,0.7333333333333334,Europe
3497,Movie,Chloe,2009,7.0,96,0,0.5,1.0,North America
3498,Movie,City of God,2002,7.0,130,0,0.5,0.625,South America
3499,Movie,Click,2006,6.5,108,0,-0.05,0.1,North America
3500,Movie,Cloverfield,2008,8.1,85,0,0.07878787878787878,0.6181818181818182,North America
3501,Movie,Coach Carter,2005,7.3,137,0,0.07750000000000001,0.5225,North America
3502,Movie,Dinner for Schmucks,2010,5.9,115,0,-0.1,0.6,North America
3503,Movie,Donnie Brasco,1997,8.3,127,0,-0.15555555555555559,0.2888888888888889,North America
3504,Movie,Dragonheart,1996,6.9,103,0,0.0,0.06666666666666667,North America
3506,Movie,Dragonheart: A New Beginning,2000,4.4,84,0,0.45,0.8500000000000001,North America
3507,Movie,Event Horizon,1997,7.4,96,0,0.0,0.0,Europe
3508,Movie,Fall Girls,2019,3.9,80,0,-0.17833333333333334,0.3483333333333333,North America
3509,Movie,Final Destination,2000,6.5,98,0,0.14166666666666666,0.5166666666666667,North America
3510,Movie,Final Destination 2,2003,6.2,90,0,-0.25,0.75,North America
3511,Movie,Final Destination 3,2006,6.8,93,0,0.07499999999999998,0.525,North America
3512,Movie,Free Willy,1993,6.8,112,0,0.016666666666666677,0.775,North America
